opt_m_x, opt_m_y, opt_qua, yaw, alt, battery_V
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
0.0, 0.0, 0, 0.0, 0.0, 0.0
