opt_m_x, opt_m_y, opt_qua
0.010688252747058868, -0.015176764689385891, 101
0.12464530766010284, -0.13604465126991272, 88
0.019784096628427505, 0.37254738807678223, 100
-0.1283254474401474, 0.3114173412322998, 104
0.0062281787395477295, 0.45503318309783936, 111
-0.051597092300653458, 0.23305237293243408, 102
0.00023535630316473544, 0.16147470474243164, 105
-0.031962893903255463, 0.099188841879367828, 105
-0.018215324729681015, 0.37228068709373474, 103
-0.020527621731162071, 0.16300410032272339, 108
-0.020993053913116455, 0.4059215784072876, 101
-0.08366326242685318, -0.0077382326126098633, 98
-0.089003488421440125, -0.093427643179893494, 91
-0.39475017786026001, -0.022137932479381561, 98
0.0080084577202796936, 0.028896799311041832, 102
-0.076338425278663635, 0.00071268115425482392, 103
-0.36806952953338623, 0.026326417922973633, 103
-0.045204266905784607, -0.0086436793208122253, 105
-0.1034967377781868, 0.011178895831108093, 106
-0.33437514305114746, -0.042514357715845108, 109
-0.39050427079200745, -0.0015194714069366455, 110
-0.083496749401092529, -0.042508110404014587, 103
-0.15988688170909882, -0.031806912273168564, 108
-0.039964333176612854, -0.35421407222747803, 109
0.04905933141708374, -0.25811132788658142, 109
0.017280790954828262, -0.076288744807243347, 100
-0.0025297626852989197, -0.39668777585029602, 110
0.057080067694187164, 0.16112001240253448, 109
0.13516749441623688, -0.19021810591220856, 107
-0.0058955550193786621, -0.45372256636619568, 101
0.040438264608383179, -0.30757781863212585, 109
-0.050678394734859467, -0.32888659834861755, 106
-0.051015499979257584, 0.015462096780538559, 105
-0.061671100556850433, 0.08755791187286377, 111
-0.059208057820796967, 0.42756757140159607, 112
0.020749252289533615, 0.18017247319221497, 105
0.022092776373028755, 0.35546961426734924, 106
0.038901422172784805, 0.23018284142017365, 111
0.072779260575771332, 0.32826733589172363, 107
0.094602867960929871, 0.12940250337123871, 93
0.058981791138648987, -0.0095955245196819305, 104
0.30050423741340637, 0.018990695476531982, 113
0.46844905614852905, 0.069515764713287354, 106
0.21200650930404663, -0.016699843108654022, 94
0.74562615156173706, -0.065838828682899475, 104
0.45040035247802734, -0.048487938940525055, 87
0.0031903274357318878, -0.17562253773212433, 97
0.035074289888143539, -0.26854106783866882, 107
0.046781972050666809, -0.50732201337814331, 101
-0.0071890987455844879, -0.35452595353126526, 102
0.052615102380514145, 0.060903742909431458, 99
-0.053723052144050598, 0.14243204891681671, 108
-0.0032461360096931458, -0.22388461232185364, 106
0.077251739799976349, -0.15785443782806396, 105
0.0045870430767536163, -0.3466656506061554, 111
0.077824719250202179, -0.41097944974899292, 105
0.0057741403579711914, -0.10507000237703323, 110
0.036390542984008789, 0.015559699386358261, 106
0.016434909775853157, -0.011608817614614964, 111
0.048059362918138504, -0.056678041815757751, 99
0.030594289302825928, -0.0012677033664658666, 101
0.04931197315454483, 0.058310948312282562, 103
-0.082136482000350952, -0.12050287425518036, 102
-0.0087878033518791199, 3.1690753530710936e-05, 109
0.19991618394851685, 0.083231568336486816, 88
1.0235979557037354, 0.030756903812289238, 76
-0.31065216660499573, -0.052405737340450287, 93
4.2165980339050293, -0.68931001424789429, 30
0.0073105692863464355, -0.018067833036184311, 26
0.0068188938312232494, -0.017948640510439873, 29
