opt_m_x, opt_m_y, opt_qua
0.012855576351284981, -0.019480781629681587, 79
-0.043270573019981384, 0.060643225908279419, 82
0.12929874658584595, 0.0035512074828147888, 91
-0.11285845190286636, -0.030249478295445442, 97
-0.27179867029190063, -0.14610788226127625, 104
-0.2777048647403717, -0.13883258402347565, 94
-0.33721092343330383, -0.013978153467178345, 94
-0.081105433404445648, -0.011327239684760571, 104
0.005511213093996048, -0.016520794481039047, 98
-0.17645196616649628, -0.074212253093719482, 94
-0.067920669913291931, -0.019667748361825943, 97
-0.19805045425891876, -0.086685024201869965, 100
-0.26258769631385803, -0.0078580742701888084, 101
0.21016092598438263, -0.021765474230051041, 101
0.43568712472915649, 0.15459197759628296, 101
-0.033299833536148071, -0.0031122416257858276, 95
0.31434941291809082, 0.15705475211143494, 95
-0.049703203141689301, -0.037121500819921494, 99
0.049693599343299866, -0.12147782742977142, 103
0.082340620458126068, -0.050206482410430908, 99
