opt_m_x, opt_m_y, opt_qua, yaw, alt
0.0047603128477931023, -0.017327835783362389, 56, 340.618408203125, -0.53600001335144043
0.0010382963810116053, -0.01699320413172245, 58, 340.68838500976563, -0.62699997425079346
-0.022128317505121231, -0.14902494847774506, 85, 340.3548583984375, -0.29899999499320984
-2.5708565711975098, 0.052661627531051636, 97, 42.588546752929688, -0.41200000047683716
-0.019959630444645882, 0.041041448712348938, 108, 74.826766967773438, -0.64899998903274536
-0.11905117332935333, 0.23958118259906769, 103, 67.9091796875, -0.45199999213218689
0.016989648342132568, 0.39750376343727112, 104, 70.98284912109375, -0.43999999761581421
0.01846245676279068, 0.080045416951179504, 120, 67.91497802734375, -0.50199997425079346
0.039465650916099548, 0.013012018986046314, 111, 67.659523010253906, -0.50199997425079346
0.003487706184387207, 0.55236673355102539, 111, 68.095428466796875, -0.66600000858306885
0.067961759865283966, 0.68927717208862305, 102, 69.108154296875, -0.68900001049041748
-0.05863894522190094, 0.65160000324249268, 107, 66.992950439453125, -0.57599997520446777
0.03260369598865509, 1.2765238285064697, 114, 64.703834533691406, -0.46900001168251038
0.025049922987818718, 0.74121606349945068, 99, 68.351043701171875, -0.29300001263618469
-0.051357418298721313, 0.8275676965713501, 105, 64.749580383300781, -0.083999998867511749
0.027584224939346313, 0.43575397133827209, 101, 66.247673034667969, 0.032999999821186066
0.22853901982307434, 0.026401819661259651, 121, 66.490737915039063, -0.12399999797344208
-0.039356596767902374, 0.090044170618057251, 103, 67.947174072265625, 0.05000000074505806
0.021132484078407288, -0.094133660197257996, 93, 65.840866088867188, -0.31000000238418579
-0.013084523379802704, -0.041648790240287781, 99, 64.483848571777344, 0.0080000003799796104
-0.069890387356281281, -0.06256779283285141, 100, 62.439811706542969, -0.032999999821186066
0.0023369465488940477, -0.15780425071716309, 103, 62.138740539550781, -0.19200000166893005
-0.040744602680206299, -0.40480566024780273, 101, 63.037967681884766, -0.16899999976158142
-0.081068128347396851, 0.10589396953582764, 104, 63.572093963623047, -0.004999999888241291
0.0040773600339889526, -0.50958430767059326, 105, 62.232891082763672, -0.27599999308586121
0.040338210761547089, -0.40664875507354736, 109, 60.014739990234375, -0.090000003576278687
0.070532932877540588, -0.27181702852249146, 103, 60.717731475830078, -0.18000000715255737
0.030336346477270126, -0.52961426973342896, 101, 57.370147705078125, 0.045000001788139343
0.025306237861514091, -0.56527531147003174, 102, 59.451675415039063, -0.096000000834465027
0.079548217356204987, -0.40972113609313965, 103, 59.767932891845703, 0.15199999511241913
-0.049781955778598785, -0.35782262682914734, 103, 56.912353515625, 0.29899999499320984
-0.04578712210059166, -0.15450024604797363, 98, 56.829429626464844, 0.17499999701976776
0.039804946631193161, -0.031196728348731995, 100, 58.250511169433594, 0.11500000208616257
-0.037876840680837631, -0.31159767508506775, 96, 55.192180633544922, 0.33899998664855957
0.010360198095440865, -0.27665728330612183, 108, 57.912586212158203, 0.096000000834465027
0.063393943011760712, -0.15516537427902222, 114, 59.085105895996094, 0.210999995470047
0.088673420250415802, -0.14769276976585388, 108, 50.194580078125, 0.30799999833106995
0.054651312530040741, -0.055845778435468674, 105, 57.061527252197266, 0.1940000057220459
-0.053276140242815018, -0.1859598308801651, 103, 54.001564025878906, 0.12399999797344208
-0.0210760198533535, 0.11866004765033722, 100, 56.608642578125, 0.26199999451637268
