opt_m_x, opt_m_y, opt_qua
-0.091143526136875153, -0.064524382352828979, 101
-0.10393476486206055, -0.0064176991581916809, 99
-0.043126076459884644, -0.095414310693740845, 99
0.034490276128053665, 0.17426237463951111, 98
0.015466262586414814, 0.19442307949066162, 108
-0.0052703619003295898, 0.39830434322357178, 109
-0.045519717037677765, 0.13173238933086395, 106
0.015952639281749725, 0.33576321601867676, 103
-0.041062578558921814, 0.41221198439598083, 106
0.077263727784156799, 0.36507850885391235, 106
-0.0065801814198493958, 0.23753705620765686, 110
0.039462301880121231, -0.2392694503068924, 98
-0.071496307849884033, -0.32506170868873596, 96
0.056114640086889267, -0.37202605605125427, 107
-0.067893154919147491, -0.28538510203361511, 105
0.047205608338117599, -0.17269575595855713, 103
-0.012116275727748871, -0.014549328945577145, 119
0.067853532731533051, -0.23282653093338013, 111
0.031793143600225449, -0.23171371221542358, 108
-0.15849590301513672, 0.068104863166809082, 105
