opt_m_x, opt_m_y, opt_qua, yaw, alt
-0.033281195908784866, 0.017535248771309853, 115, 295.23989868164063, 0.63499999046325684
0.0044617019593715668, 0.023846456781029701, 120, 294.28662109375, 0.68300002813339233
0.039663378149271011, 0.13605295121669769, 116, 296.06982421875, 0.56199997663497925
-0.11521763354539871, 0.47205731272697449, 130, 295.3499755859375, 0.68900001049041748
0.0081545030698180199, 0.49808767437934875, 116, 293.9478759765625, 0.69199997186660767
-0.11941529810428619, 0.73265045881271362, 113, 292.69235229492188, 0.53600001335144043
0.10475599765777588, 0.66649895906448364, 103, 294.15728759765625, 0.53600001335144043
0.059180919080972672, 0.65952533483505249, 114, 293.47543334960938, 0.55900001525878906
0.0015370713081210852, 0.52722954750061035, 122, 291.45745849609375, 0.45699998736381531
0.020371139049530029, 0.80199271440505981, 111, 291.04464721679688, 0.41800001263618469
-0.092643424868583679, 0.64997309446334839, 103, 289.05905151367188, 0.50499999523162842
0.030797407031059265, 0.48715224862098694, 110, 288.15756225585938, 0.65200001001358032
0.077353700995445251, -0.054744113236665726, 115, 286.1279296875, 0.43200001120567322
0.022180013358592987, -0.46640193462371826, 121, 286.68533325195313, 0.5220000147819519
-0.02164103090763092, -0.27641600370407104, 115, 283.03851318359375, 0.54199999570846558
-0.10749976336956024, -0.3844115138053894, 119, 283.56219482421875, 0.51899999380111694
0.085502460598945618, -0.40552711486816406, 110, 284.560791015625, 0.5559999942779541
0.09078650176525116, -0.65707230567932129, 104, 285.20318603515625, 0.52799999713897705
-0.015599893406033516, -0.66915237903594971, 110, 285.462158203125, 0.57899999618530273
0.13913747668266296, -0.58921569585800171, 107, 283.71456909179688, 0.5559999942779541
-0.0841250941157341, -0.63030058145523071, 101, 282.48214721679688, 0.68599998950958252
-0.093749657273292542, -0.73838526010513306, 111, 282.94113159179688, 0.50199997425079346
0.078947290778160095, -0.49616339802742004, 111, 282.87554931640625, 0.68300002813339233
-0.10540062934160233, -0.47613656520843506, 119, 277.21258544921875, 0.73400002717971802
-0.019151562824845314, -0.49474805593490601, 125, 272.18527221679688, 0.63200002908706665
-0.071599520742893219, -0.29860115051269531, 128, 268.7322998046875, 0.79900002479553223
0.004606067668646574, -0.16579046845436096, 112, 271.26437377929688, 0.38699999451637268
-0.10370244085788727, -0.053689479827880859, 116, 276.8326416015625, 0.6470000147819519
0.066958919167518616, 0.11448591947555542, 107, 271.985107421875, 0.50199997425079346
-0.03659394383430481, 0.044581916183233261, 111, 271.8349609375, 0.66100001335144043
-0.035030320286750793, 0.013381060212850571, 129, 270.98764038085938, 0.68900001049041748
0.0058476366102695465, -0.023875933140516281, 121, 270.87451171875, 0.65499997138977051
0.05238712951540947, -0.028706947341561317, 123, 271.04541015625, 0.76800000667572021
0.016504528000950813, -0.054513689130544662, 128, 271.2508544921875, 0.72600001096725464
0.013940826989710331, -0.019844666123390198, 121, 270.599365234375, 0.58399999141693115
