opt_m_x, opt_m_y, opt_qua, yaw, alt
0.04791586846113205, -0.016876546666026115, 82, 355.25198364257813, -0.414000004529953
0.090420976281166077, -0.017241572961211205, 85, 355.25457763671875, -0.56699997186660767
0.48931270837783813, 0.44389781355857849, 78, 358.87582397460938, -0.44100001454353333
0.40401551127433777, 0.1505521833896637, 94, 357.50363159179688, -0.28799998760223389
-0.8390730619430542, -0.29929733276367188, 96, 39.521354675292969, -0.097999997437000275
-0.76203608512878418, -0.64296740293502808, 83, 71.427116394042969, -0.11400000005960464
0.0054614990949630737, 0.03704255074262619, 96, 83.709625244140625, -0.11900000274181366
-0.082787126302719116, 0.40796560049057007, 111, 93.134864807128906, -0.16300000250339508
-0.02017645537853241, 0.33322697877883911, 115, 92.189102172851563, -0.037999998778104782
-0.054360844194889069, 0.49331825971603394, 118, 84.944122314453125, -0.2070000022649765
-0.16639807820320129, 0.41540315747261047, 101, 82.642822265625, -0.064999997615814209
-0.20017766952514648, 0.13367457687854767, 110, 93.929618835449219, -0.22800000011920929
-0.27898585796356201, 0.10722322016954422, 103, 162.35665893554688, -0.2720000147819519
0.081060707569122314, 0.054971285164356232, 111, 174.82551574707031, -0.17399999499320984
0.12711746990680695, 0.24860423803329468, 114, 177.72245788574219, -0.11900000274181366
0.10110634565353394, 0.30414965748786926, 118, 177.96476745605469, -0.2669999897480011
0.024597454816102982, 0.14971765875816345, 119, 180.91139221191406, -0.2070000022649765
-0.20118966698646545, 0.064363524317741394, 107, 203.48707580566406, -0.25
-0.11878076940774918, -0.64573252201080322, 83, 259.4063720703125, -0.2669999897480011
-1.0715426206588745, -0.34062612056732178, 99, 288.98046875, -0.27799999713897705
-0.31658339500427246, 0.14233779907226563, 112, 340.23739624023438, -0.22300000488758087
-0.063773438334465027, 0.34087353944778442, 124, 356.83145141601563, -0.21199999749660492
-0.013454845175147057, 0.23751983046531677, 109, 354.43096923828125, -0.21199999749660492
0.20813578367233276, 0.12592057883739471, 105, 290.08038330078125, -0.15800000727176666
-0.073065266013145447, 0.33410188555717468, 107, 283.2342529296875, -0.15800000727176666
-0.004475027322769165, 0.35040229558944702, 121, 278.84356689453125, -0.414000004529953
-0.12305183708667755, 0.2948853075504303, 106, 280.85528564453125, -0.32100000977516174
-0.034213542938232422, 0.29930338263511658, 112, 286.31698608398438, -0.20100000500679016
0.016170293092727661, 0.13766360282897949, 113, 286.3345947265625, -0.19599999487400055
-0.11531464755535126, 0.15084625780582428, 119, 280.45901489257813, -0.38100001215934753
