opt_m_x, opt_m_y, opt_qua, yaw, sonarrange
0.006887268740683794, -0.020560229197144508, 0, 359.62667846679688, 0.0
0.0069256597198545933, -0.020257864147424698, 0, 359.5931396484375, 0.0
0.006703515537083149, -0.020279916003346443, 0, 359.5576171875, 0.0
0.008609287440776825, -0.02123640850186348, 0, 359.53387451171875, 0.0
2.3472990989685059, -0.056989554315805435, 103, 352.51852416992188, 0.17999999225139618
0.028254836797714233, 0.0076093226671218872, 79, 349.57418823242188, 0.62000000476837158
-0.0012525463243946433, 0.065170973539352417, 120, 4.1275053024291992, 1.2739999294281006
0.065567091107368469, -0.058725759387016296, 123, 359.8590087890625, 1.3259999752044678
0.17251192033290863, -0.15112364292144775, 128, 359.1761474609375, 1.2899999618530273
-0.084617882966995239, -0.48016980290412903, 127, 0.15614351630210876, 1.2999999523162842
0.13772551715373993, -0.20541462302207947, 139, 357.31851196289063, 1.2899999618530273
0.04587380588054657, -0.24130138754844666, 127, 357.7176513671875, 1.2719999551773071
0.0014465600252151489, -0.53019845485687256, 123, 357.91256713867188, 1.2599999904632568
0.069154798984527588, -0.45757150650024414, 113, 353.76815795898438, 1.2679998874664307
0.012889962643384933, -0.41078692674636841, 130, 354.51763916015625, 1.2699999809265137
-0.031225413084030151, -0.24976944923400879, 131, 356.22039794921875, 1.2359999418258667
0.059267245233058929, -0.11849653720855713, 127, 358.37765502929688, 1.2300000190734863
-0.22531276941299438, 0.079452760517597198, 120, 45.114097595214844, 1.2300000190734863
0.43438977003097534, 0.063682489097118378, 120, 92.72637939453125, 1.2339999675750732
0.44486996531486511, 0.0066916942596435547, 122, 152.50044250488281, 1.2300000190734863
0.14614813029766083, -0.35191497206687927, 118, 171.18617248535156, 1.2300000190734863
0.027836889028549194, -0.40036070346832275, 116, 173.18728637695313, 1.2519999742507935
-0.016726182773709297, -0.37341415882110596, 129, 171.53263854980469, 1.2699999809265137
0.070998653769493103, -0.41938388347625732, 113, 169.15353393554688, 1.2099999189376831
-0.086191572248935699, -0.3950161337852478, 136, 169.49832153320313, 1.2000000476837158
-0.079034790396690369, -0.5388798713684082, 135, 167.60757446289063, 1.2000000476837158
-0.03505479171872139, -0.023272059857845306, 136, 166.70353698730469, 1.2059999704360962
0.030002910643815994, -0.16337203979492188, 145, 166.90281677246094, 1.1979999542236328
0.042138691991567612, 0.041536614298820496, 136, 164.73062133789063, 1.1559998989105225
0.010549223981797695, -0.023411907255649567, 131, 171.92033386230469, 1.1899999380111694
